state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
NSW,2865,RESIDENTIAL,152,605.8,152,600.8,1,5.0,5.0,0,0.0
NSW,2864,RESIDENTIAL,101,498.9,101,493.9,1,5.0,6.0,0,0.0
NSW,2852,BUSINESS,33,426.3,33,426.3,0,0.0,0.0,0,0.0
NSW,2852,RESIDENTIAL,294,1392.8,294,1368.8,5,24.0,46.0,0,0.0
NSW,2850,BUSINESS,110,1838.2,110,1828.2,2,10.0,54.0,0,0.0
NSW,2850,RESIDENTIAL,1517,7942.36,1515,7796.1,23,111.0,225.0,0,0.0
NSW,2849,RESIDENTIAL,128,769.9,128,769.9,0,0.0,0.0,0,0.0
NSW,2848,BUSINESS,12,78.0,12,78.0,0,0.0,0.0,0,0.0
NSW,2848,RESIDENTIAL,113,600.6,112,595.6,0,0.0,0.0,1,5.0
NSW,2847,RESIDENTIAL,215,1174.775,215,1174.775,0,0.0,0.0,0,0.0
NSW,2846,RESIDENTIAL,33,179.7,33,179.7,0,0.0,0.0,0,0.0
NSW,2845,RESIDENTIAL,131,649.6,131,649.6,0,0.0,0.0,0,0.0
NSW,2844,BUSINESS,13,124.8,13,124.8,0,0.0,0.0,0,0.0
NSW,2844,RESIDENTIAL,158,663.7,158,653.7,2,10.0,19.0,0,0.0
NSW,2843,BUSINESS,21,203.4,21,203.4,0,0.0,0.0,0,0.0
NSW,2843,RESIDENTIAL,116,567.7,116,549.7,3,18.0,40.0,0,0.0
NSW,2842,RESIDENTIAL,105,409.4,105,409.4,0,0.0,0.0,0,0.0
NSW,2840,BUSINESS,33,313.5,33,313.5,0,0.0,0.0,0,0.0
NSW,2840,RESIDENTIAL,370,1782.9,370,1782.9,0,0.0,0.0,0,0.0
NSW,2839,RESIDENTIAL,126,549.0,126,549.0,0,0.0,0.0,0,0.0
NSW,2836,BUSINESS,20,127.1,20,127.1,0,0.0,0.0,0,0.0
NSW,2836,RESIDENTIAL,92,430.5,92,430.5,0,0.0,0.0,0,0.0
NSW,2835,BUSINESS,25,278.6,25,273.6,1,5.0,6.0,0,0.0
NSW,2835,RESIDENTIAL,582,2324.2,581,2303.2,4,21.0,80.0,0,0.0
NSW,2834,BUSINESS,38,198.4,38,198.4,0,0.0,0.0,0,0.0
NSW,2834,RESIDENTIAL,327,926.8,327,926.8,0,0.0,0.0,0,0.0
NSW,2833,RESIDENTIAL,80,338.1,80,338.1,0,0.0,0.0,0,0.0
NSW,2832,BUSINESS,21,212.5,21,212.5,0,0.0,0.0,0,0.0
NSW,2832,RESIDENTIAL,315,1290.3,315,1282.3,1,8.0,19.0,0,0.0
NSW,2831,BUSINESS,10,117.4,10,117.4,0,0.0,0.0,0,0.0
NSW,2831,RESIDENTIAL,333,1480.0,333,1475.0,1,5.0,19.0,0,0.0
NSW,2830,BUSINESS,276,4325.4,275,4320.4,1,5.0,5.0,0,0.0
NSW,2830,RESIDENTIAL,6183,21322.1,6183,21235.4,19,86.7,171.0,0,0.0
NSW,2829,BUSINESS,31,349.0,31,349.0,0,0.0,0.0,0,0.0
NSW,2829,RESIDENTIAL,390,1624.0,390,1624.0,0,0.0,0.0,0,0.0
NSW,2828,RESIDENTIAL,85,414.9,85,414.9,0,0.0,0.0,0,0.0
NSW,2827,BUSINESS,34,462.3,34,462.3,0,0.0,0.0,0,0.0
NSW,2827,RESIDENTIAL,492,1954.5,492,1944.5,1,10.0,27.0,0,0.0
NSW,2826,RESIDENTIAL,29,162.7,29,162.7,0,0.0,0.0,0,0.0
NSW,2825,BUSINESS,21,296.6,21,296.6,0,0.0,0.0,0,0.0
NSW,2825,RESIDENTIAL,275,1104.8,275,1104.8,0,0.0,0.0,0,0.0
NSW,2824,BUSINESS,24,336.2,24,336.2,0,0.0,0.0,0,0.0
NSW,2824,RESIDENTIAL,350,1536.4,350,1531.4,1,5.0,13.0,0,0.0
NSW,2823,RESIDENTIAL,179,901.9,179,901.9,0,0.0,0.0,0,0.0
