state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
VIC,3040,BUSINESS,39,771.2,38,766.6,1,4.6,10.3,0,0
VIC,3407,RESIDENTIAL,39,162.1,39,162.1,0,0,0,0,0
VIC,3714,BUSINESS,39,614.7,39,614.7,0,0,0,0,0
VIC,3957,RESIDENTIAL,39,165.3,39,165.3,0,0,0,0,0
VIC,3033,BUSINESS,40,755.36,40,755.36,0,0,0,0,0
VIC,3084,BUSINESS,40,754.63,40,749.63,1,5,14,0,0
VIC,3205,BUSINESS,40,655.4,40,655.4,0,0,0,0,0
VIC,3218,BUSINESS,40,15644,40,15644,0,0,0,0,0
VIC,3469,RESIDENTIAL,40,197.7,40,197.7,0,0,0,0,0
VIC,3641,BUSINESS,40,560,40,560,0,0,0,0,0
VIC,3062,BUSINESS,41,2407.68,41,2407.68,0,0,0,0,0
VIC,3133,BUSINESS,41,799.2,41,794.2,1,5,9.8,0,0
VIC,3186,BUSINESS,41,624.4,39,619.4,3,5,14,0,0
VIC,3888,BUSINESS,41,574.1,41,574.1,0,0,0,0,0
VIC,3088,BUSINESS,42,622.8,42,622.8,0,0,0,0,0
VIC,3128,BUSINESS,42,689.4,41,689.4,1,0,0,0,0
VIC,3165,BUSINESS,42,595,41,590,1,5,14,0,0
VIC,3279,RESIDENTIAL,42,192.2,42,192.2,0,0,0,0,0
VIC,3523,BUSINESS,42,541.48,42,541.48,0,0,0,0,0
VIC,3597,RESIDENTIAL,42,189.85,42,189.85,0,0,0,0,0
VIC,3712,RESIDENTIAL,42,186.7,42,186.7,0,0,0,0,0
VIC,3832,RESIDENTIAL,42,192.8,42,192.8,0,0,0,0,0
VIC,3194,BUSINESS,43,822.3,43,822.3,0,0,0,0,0
VIC,3236,RESIDENTIAL,43,164.82,42,155.22,2,9.6,24.3,0,0
VIC,3306,RESIDENTIAL,43,171.3,43,171.3,0,0,0,0,0
VIC,3478,BUSINESS,43,789.72,43,789.72,0,0,0,0,0
VIC,3567,BUSINESS,43,736.83,43,736.83,0,0,0,0,0
VIC,3847,BUSINESS,43,396,43,396,0,0,0,0,0
VIC,3960,BUSINESS,43,611.7,43,611.7,0,0,0,0,0
VIC,3965,RESIDENTIAL,43,168.4,43,168.4,0,0,0,0,0
VIC,3125,BUSINESS,44,1097.1,43,1094.1,1,3,6.5,0,0
VIC,3540,RESIDENTIAL,44,164.7,44,164.7,0,0,0,0,0
VIC,3546,RESIDENTIAL,44,181.3,44,181.3,0,0,0,0,0
VIC,3787,RESIDENTIAL,44,196.6,44,196.6,0,0,0,0,0
