state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
TAS,7252,BUSINESS,11,474.7,10,473.2,0,0,0,1,1.5
TAS,7268,BUSINESS,11,174.5,9,157.3,2,17.2,38,0,0
VIC,3000,RESIDENTIAL,11,78.31,11,78.31,0,0,0,0,0
VIC,3030,(blank),11,98.2,11,88.2,1,10,12.8,0,0
VIC,3091,BUSINESS,11,161.785,11,161.785,0,0,0,0,0
VIC,3279,BUSINESS,11,223.6,11,223.6,0,0,0,0,0
VIC,3309,RESIDENTIAL,11,57,11,57,0,0,0,0,0
VIC,3361,BUSINESS,11,188.4,11,188.4,0,0,0,0,0
VIC,3482,BUSINESS,11,103.7,11,103.7,0,0,0,0,0
VIC,3488,RESIDENTIAL,11,47.7,11,47.7,0,0,0,0,0
VIC,3529,RESIDENTIAL,11,60,11,60,0,0,0,0,0
VIC,3572,BUSINESS,11,210.7,11,210.7,0,0,0,0,0
VIC,3576,RESIDENTIAL,11,71,11,71,0,0,0,0,0
VIC,3670,BUSINESS,11,56.9,11,56.9,0,0,0,0,0
VIC,3687,BUSINESS,11,123.92,11,123.92,0,0,0,0,0
VIC,3695,BUSINESS,11,88.02,9,68.42,2,19.6,19.6,0,0
VIC,3728,BUSINESS,11,103.2,11,103.2,0,0,0,0,0
VIC,3873,BUSINESS,11,202.7,10,183.5,1,19.2,19.2,0,0
VIC,3978,(blank),11,90.1,11,90.1,0,0,0,0,0
NSW,2011,BUSINESS,12,266.5,12,261.5,1,5,14,0,0
NSW,2023,BUSINESS,12,143.8,12,118.8,1,25,26.2,0,0
NSW,2029,BUSINESS,12,214.8,12,204.8,1,10,28,0,0
NSW,2030,BUSINESS,12,217.4,12,204.9,1,12.5,28,0,0
NSW,2043,BUSINESS,12,313.9,12,313.9,0,0,0,0,0
NSW,2047,BUSINESS,12,122.6,12,122.6,0,0,0,0,0
NSW,2071,BUSINESS,12,232.1,12,170.8,3,61.3,61.4,0,0
NSW,2193,BUSINESS,12,394.7,12,394.7,0,0,0,0,0
NSW,2222,BUSINESS,12,127.1,12,122.1,1,5,7.4,0,0
NSW,2286,BUSINESS,12,180.8,11,174.2,0,0,0,1,6.6
NSW,2297,BUSINESS,12,124.4,12,100.3,4,24.1,40.1,0,0
NSW,2421,BUSINESS,12,282.6,12,282.6,0,0,0,0,0
NSW,2462,BUSINESS,12,201.3,12,201.3,0,0,0,0,0
NSW,2515,BUSINESS,12,150.8,12,150.8,0,0,0,0,0
NSW,2632,BUSINESS,12,100.5,12,95.5,1,5,5,0,0
NSW,2729,BUSINESS,12,114.9,12,114.9,0,0,0,0,0
NSW,2754,BUSINESS,12,100.7,12,100.7,0,0,0,0,0
NSW,2762,BUSINESS,12,545.3,12,545.3,0,0,0,0,0
NSW,2783,BUSINESS,12,84.1,12,84.1,0,0,0,0,0
NSW,3585,RESIDENTIAL,12,61.6,12,61.6,0,0,0,0,0
QLD,4115,(blank),12,89.4,12,89.4,0,0,0,0,0
QLD,4179,(blank),12,95.3,12,95.3,0,0,0,0,0
QLD,4218,(blank),12,104,12,104,0,0,0,0,0
QLD,4705,BUSINESS,12,218.1,12,213.5,1,4.6,6,0,0
QLD,4756,BUSINESS,12,200.6,12,200.6,0,0,0,0,0
SA,5051,(blank),12,109.7,12,84.7,3,25,27.5,0,0
SA,5066,(blank),12,148,9,108,5,40,68.1,0,0
SA,5279,BUSINESS,12,135.2,12,135.2,0,0,0,0,0
SA,5401,BUSINESS,12,201.6,12,201.6,0,0,0,0,0
SA,5560,BUSINESS,12,116.7,12,116.7,0,0,0,0,0
SA,5661,BUSINESS,12,119.1,12,119.1,0,0,0,0,0
TAS,7211,RESIDENTIAL,12,67.8,12,67.8,0,0,0,0,0
VIC,3024,(blank),12,93.9,12,93.9,0,0,0,0,0
VIC,3105,BUSINESS,12,182.2,12,172.2,1,10,22.4,0,0
VIC,3242,BUSINESS,12,162.9,12,162.9,0,0,0,0,0
VIC,3273,RESIDENTIAL,12,85.4,12,85.4,0,0,0,0,0
VIC,3358,BUSINESS,12,234.66,12,234.66,0,0,0,0,0
VIC,3391,BUSINESS,12,146.55,12,146.55,0,0,0,0,0
