state,post_code,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
NSW,2035,RESIDENTIAL,879,3841.9,870,3712.3,25,129.6,266.5,0,0.0
NSW,2036,BUSINESS,49,1027.8,49,1027.8,0,0.0,0.0,0,0.0
NSW,2036,RESIDENTIAL,938,4366.16,932,4219.96,28,146.2,233.6,0,0.0
NSW,2037,BUSINESS,24,293.3,24,293.3,0,0.0,0.0,0,0.0
NSW,2037,RESIDENTIAL,232,908.1,230,834.3,12,73.7,104.5,0,0.0
NSW,2038,BUSINESS,19,233.0,19,233.0,0,0.0,0.0,0,0.0
NSW,2038,RESIDENTIAL,285,1088.4,280,1009.0,14,79.5,164.2,0,0.0
NSW,2039,BUSINESS,14,170.6,14,170.6,0,0.0,0.0,0,0.0
NSW,2039,RESIDENTIAL,188,670.699,188,629.199,6,41.5,47.1,0,0.0
NSW,2040,BUSINESS,52,1282.1,52,1282.1,0,0.0,0.0,0,0.0
NSW,2040,RESIDENTIAL,684,2698.0,679,2583.4,21,114.6,172.0,0,0.0
NSW,2041,BUSINESS,15,114.9,15,114.9,0,0.0,0.0,0,0.0
NSW,2041,RESIDENTIAL,424,1565.4,418,1485.1,16,80.3,159.7,0,0.0
NSW,2042,BUSINESS,32,475.2,32,444.0,2,31.2,48.9,0,0.0
NSW,2042,RESIDENTIAL,418,1430.35,418,1399.85,4,30.4,40.6,0,0.0
NSW,2043,BUSINESS,11,280.8,11,280.8,0,0.0,0.0,0,0.0
NSW,2043,RESIDENTIAL,111,351.5,109,334.5,3,17.0,41.0,0,0.0
NSW,2044,BUSINESS,43,2126.3,43,2112.5,1,13.8,6.0,0,0.0
NSW,2044,RESIDENTIAL,316,1097.3,314,1063.3,6,34.0,66.3,0,0.0
NSW,2045,RESIDENTIAL,240,1449.955,235,1300.555,24,149.3,253.0,0,0.0
NSW,2046,BUSINESS,38,1331.6,38,1331.6,0,0.0,0.0,0,0.0
NSW,2046,RESIDENTIAL,700,3319.78,693,3170.18,27,149.6,249.1,0,0.0
NSW,2047,BUSINESS,10,85.8,10,85.8,0,0.0,0.0,0,0.0
NSW,2047,RESIDENTIAL,212,941.1,207,881.8,11,59.3,119.4,0,0.0
NSW,2048,BUSINESS,11,331.8,11,331.8,0,0.0,0.0,0,0.0
NSW,2048,RESIDENTIAL,183,711.4,183,681.3,4,30.1,34.7,0,0.0
NSW,2049,BUSINESS,17,287.1,17,287.1,0,0.0,0.0,0,0.0
NSW,2049,RESIDENTIAL,282,1090.33,281,1038.43,11,51.9,67.3,0,0.0
NSW,2050,BUSINESS,56,383.1,56,383.1,0,0.0,0.0,0,0.0
