state,postcode,NMI_Bus_res,Sum of Num_DER_Connections,Sum of Installed_DER_capacity_kVA,Sum of Solar_Connections,Sum of Solar_capacity_kVA,Sum of Battery_Connections,Sum of Battery_capacity_kVA,Sum of Battery_Storage_kVAh,Sum of Num_Other_Connections,Sum of Installed_OtherDER_capacity_kVA
VIC,3102,RESIDENTIAL,476,2705.3,474,2616.3,15,89,190.3,0,0
VIC,3808,RESIDENTIAL,477,3003.525,461,2839.825,17,163.7,322.4,0,0
VIC,3064,BUSINESS,478,11340.0008,470,11238.8008,13,101.2,149,0,0
VIC,3913,RESIDENTIAL,480,2908.6,467,2762.6,29,146,276.4,0,0
VIC,3189,RESIDENTIAL,485,2556.48,477,2498.98,14,57.6,104.7,0,0
VIC,3911,RESIDENTIAL,490,3175.2,474,3036.7,23,138.5,211.7,0,0
VIC,3231,RESIDENTIAL,496,2983.444,479,2632.544,46,350.9,713.7,0,0
VIC,3358,RESIDENTIAL,496,3257.967,491,3168.967,16,89,168.9,0,0
VIC,3061,BUSINESS,502,15687.135,500,15656.735,3,30.5,36.5,0,0
VIC,3871,RESIDENTIAL,502,2381.005,492,2301.425,12,79.58,147.4,0,0
VIC,3940,RESIDENTIAL,507,2366.1,503,2330.5,7,35.6,54.7,0,0
VIC,3460,RESIDENTIAL,515,2694.25,509,2529.25,19,165,319.4,0,0
VIC,3568,RESIDENTIAL,517,3113.84,511,3014.74,15,99.1,164.3,0,0
VIC,3144,RESIDENTIAL,520,3097.076,503,2912.576,31,184.5,385.4,0,0
VIC,3749,RESIDENTIAL,525,2990.665,507,2601.865,32,388.8,435.5,0,0
VIC,3821,RESIDENTIAL,529,2840.43,514,2716.43,19,124,219.4,0,0
VIC,3858,RESIDENTIAL,532,2504.9,526,2463.3,6,41.6,54.8,0,0
VIC,3978,BUSINESS,534,10785.18,531,5476.18,3,5309,14311,0,0
VIC,3943,RESIDENTIAL,540,3580.2,524,3352.4,39,227.8,375,0,0
VIC,3030,BUSINESS,544,11007.593,541,10961.193,4,30,43.9,2,16.4
VIC,3184,RESIDENTIAL,554,2724.8,539,2610.1,30,114.8,212.4,0,0
VIC,3435,RESIDENTIAL,556,3356.02,549,3201.42,25,154.6,287.6,0,0
VIC,3183,RESIDENTIAL,558,2633.51,546,2542.61,20,90.9,177,0,0
VIC,3938,RESIDENTIAL,568,3062.3,549,2975.2,27,87.1,155,0,0
VIC,3980,RESIDENTIAL,575,3052.405,570,3034.505,5,17.9,38.6,0,0
VIC,3960,RESIDENTIAL,577,2514.37,567,2445.87,9,58.5,111.54,1,10
VIC,3019,RESIDENTIAL,580,3053.016,567,2920.416,17,132.6,214.7,0,0
VIC,3463,RESIDENTIAL,583,2850.06,579,2773.56,16,76.5,166,0,0
VIC,3357,RESIDENTIAL,584,3346.25,577,3212.95,21,133.3,213.8,0,0
VIC,3342,RESIDENTIAL,609,3329.524,601,3187.324,22,142.2,244.3,0,0
VIC,3057,RESIDENTIAL,611,2785.8,607,2709.3,14,76.5,139.7,0,0
VIC,3608,RESIDENTIAL,612,3333.495,603,3242.495,10,91,99.6,0,0
VIC,3363,RESIDENTIAL,613,3345.288,599,3251.188,20,94,198,0,0
VIC,3918,RESIDENTIAL,622,3468.7,613,3316.5,26,152.2,199,0,0
VIC,3888,RESIDENTIAL,623,2943.275,617,2855.875,8,87.4,109.1,0,0
VIC,3942,RESIDENTIAL,626,3948.33,611,3770.93,30,177.5,281.1,0,0
VIC,3099,RESIDENTIAL,628,3325.925,611,3192.625,20,133.3,177.3,0,0
VIC,3123,RESIDENTIAL,633,3867.349,621,3644.849,36,222.5,469.9,0,0
VIC,3775,RESIDENTIAL,634,3363.082,612,3212.582,23,150.5,241.7,0,0
VIC,3158,RESIDENTIAL,639,3221.975,626,3106.075,16,115.9,6988.7,0,0
VIC,3862,RESIDENTIAL,647,3435.61,631,3296.61,16,139,179.4,0,0
VIC,3717,RESIDENTIAL,651,3303.655,638,3201.155,13,102.5,123.2,0,0
VIC,3685,RESIDENTIAL,654,3434.804,645,3336.704,12,97.9,106.05,0,0
VIC,3185,RESIDENTIAL,657,3642.9,640,3492.6,34,150.3,289.4,0,0
VIC,3148,RESIDENTIAL,659,3276.08,651,3223.18,12,53,94,0,0
VIC,3714,RESIDENTIAL,659,3196.135,642,3041.735,17,154.4,186,0,0
VIC,3161,RESIDENTIAL,669,4841.37,655,4586.47,31,255,445.4,0,0
VIC,3842,RESIDENTIAL,669,3169.53,664,3113.43,7,56.1,102.7,0,0
VIC,3926,RESIDENTIAL,677,4247.24,656,3934.54,50,312.7,506.5,0,0
VIC,3723,RESIDENTIAL,689,3764.545,676,3575.845,13,188.6,213.9,0,0
VIC,3036,RESIDENTIAL,694,3504.388,689,3342.688,15,161.7,255.5,0,0
