STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,DWTSTRD,Dwelling structure,SUM,Summation,REGION,Region,REGION_TYPE,Region Type,STATE,State,TIME_PERIOD,Time Period,OBS_VALUE,Observation Value
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,33,Flat or apartment: In a four to eight storey block,D,Dwellings,45400,Orroroo Carrieton,LGA2021,Local Government Areas (2021),4,South Australia,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,9,Other dwelling: Total,D,Dwellings,46090,Port Augusta,LGA2021,Local Government Areas (2021),4,South Australia,2021,,42,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,92,"Other dwelling: Cabin, houseboat",D,Dwellings,47290,Southern Mallee,LGA2021,Local Government Areas (2021),4,South Australia,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,OCC,Total occupied private dwellings,D,Dwellings,48130,Wakefield,LGA2021,Local Government Areas (2021),4,South Australia,2021,,2667,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,21,"Semi-detached, row or terrace house, townhouse etc with: One storey",D,Dwellings,48540,Whyalla,LGA2021,Local Government Areas (2021),4,South Australia,2021,,3494,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,94,"Other dwelling: House or flat attached to a shop, office, etc",D,Dwellings,50490,Belmont,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,9,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,92,"Other dwelling: Cabin, houseboat",D,Dwellings,51330,Canning,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,93,"Other dwelling: Improvised home, tent, sleepers out",D,Dwellings,51890,Collie,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,3,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,21,"Semi-detached, row or terrace house, townhouse etc with: One storey",D,Dwellings,52170,Cottesloe,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,136,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,33,Flat or apartment: In a four to eight storey block,D,Dwellings,53010,Dumbleyung,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,_N,Dwelling structure not stated,D,Dwellings,53010,Dumbleyung,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,92,"Other dwelling: Cabin, houseboat",D,Dwellings,53570,Gingin,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,17,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,35,Flat or apartment: Attached to a house,D,Dwellings,54170,Joondalup,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,83,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,93,"Other dwelling: Improvised home, tent, sleepers out",D,Dwellings,54550,Kojonup,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,11,Separate house,D,Dwellings,55110,Mandurah,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,29540,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,3,Flat or apartment: Total,D,Dwellings,55390,Menzies,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,6,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,31,Flat or apartment: In a one or two storey block,D,Dwellings,55950,Mukinbudin,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,0,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,21,"Semi-detached, row or terrace house, townhouse etc with: One storey",D,Dwellings,56300,Nannup,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,6,
DATAFLOW,ABS:C21_G36_LGA(1.0.0),"Census 2021, G36 Dwelling structure, Local Government Area 2021 (LGA 2021 boundaries)",I,22,"Semi-detached, row or terrace house, townhouse etc with: Two or more storeys",D,Dwellings,56930,Peppermint Grove,LGA2021,Local Government Areas (2021),5,Western Australia,2021,,53,
