,POA 2021 Code,POA 2021 Area (km2),MMM 2023,MMM 2023 Area in POA 2021 (km2)
,2283,59.2496,1,59.3
,2284,24.2726,1,24.3
,2285,32.3918,1,32.4
,2286,25.2353,1,25.2
,2287,38.0741,1,38.1
,2289,11.413,1,11.4
,2290,35.6998,1,35.7
,2291,7.1942,1,7.2
,2292,2.873,1,2.9
,2293,1.326,1,1.3
,2294,2.0392,1,2.0
,2295,11.9768,1,12.0
,2296,0.7062,1,0.7
,2297,0.801,1,0.8
,2298,4.0311,1,4.0
,2299,5.2319,1,5.2
,2300,3.4557,1,3.5
,2302,0.8095,1,0.8
,2303,3.0401,1,3.0
,2304,39.3891,1,39.4
,2305,8.894,1,8.9
,2306,1.777,1,1.8
,2307,6.5582,1,6.6
,2308,1.7907,1,1.8
,2311,783.5898,5,783.6
,2312,181.2071,5,181.2
,2315,32.3446,4,32.3
,2316,73.9271,4,40.8
,2316,73.9271,5,33.2
,2317,9.734,4,9.7
,2318,259.5244,1,37.8
,2318,259.5244,2,221.7
,2319,29.6406,2,0.2
,2319,29.6406,5,29.4
,2320,403.8742,1,85.2
,2320,403.8742,2,163.6
,2320,403.8742,3,114.6
,2320,403.8742,5,40.5
,2321,361.6288,1,48.0
,2321,361.6288,2,126.4
,2321,361.6288,5,187.3
,2322,168.2091,1,149.9
,2322,168.2091,2,18.3
,2323,207.9467,1,53.9
,2323,207.9467,2,144.3
,2323,207.9467,5,9.7
,2324,627.1611,1,64.8
,2324,627.1611,2,100.9
,2324,627.1611,4,31.8
,2324,627.1611,5,427.8
,2324,627.1611,6,1.8
,2325,1605.0648,2,86.6
,2325,1605.0648,3,275.3
,2325,1605.0648,5,1243.2
,2326,80.9068,1,24.2
,2326,80.9068,2,56.7
,2327,15.0694,1,15.1
,2328,1634.8508,5,1634.9
,2329,3056.2045,5,3056.2
,2330,4730.8949,4,223.2
,2330,4730.8949,5,4507.7
,2331,137.2978,4,6.3
,2331,137.2978,5,131.0
,2333,1691.3907,4,80.7
,2333,1691.3907,5,1610.7
,2334,20.7073,2,20.7
,2335,268.4372,2,77.1
,2335,268.4372,5,191.3
,2336,888.9717,4,4.7
,2336,888.9717,5,884.3
,2337,3331.7268,4,118.6
,2337,3331.7268,5,3213.2
,2338,989.4776,5,989.5
,2339,1120.8458,5,1120.8
,2340,3352.9983,3,624.8
,2340,3352.9983,5,2728.2
,2341,227.9108,5,227.9
,2342,561.0816,5,561.1
,2343,3352.8926,5,3352.9
,2344,339.1674,3,138.8
,2344,339.1674,5,200.3
,2345,291.7831,5,291.8
,2346,1967.8028,5,1967.8
,2347,3035.4851,5,3035.5
,2350,4543.2274,3,533.5
,2350,4543.2274,5,4009.7
,2352,434.2708,3,84.0
,2352,434.2708,5,350.3
,2353,198.8995,3,0.2
,2353,198.8995,5,198.7
,2354,7142.1491,5,7142.1
,2355,918.5516,5,918.6
,2356,542.7306,6,542.7
,2357,3305.5418,5,3305.5
,2358,1905.5433,3,54.8
,2358,1905.5433,5,1850.8
,2359,1294.1139,5,1294.1
,2360,3385.2978,4,212.4
,2360,3385.2978,5,3172.9
,2361,1963.1502,5,1963.2
,2365,3804.6687,5,3804.7
,2369,347.5058,5,347.5
,2370,4769.4223,4,424.0
,2370,4769.4223,5,4345.4
,2371,1900.6028,5,1900.6
,2372,4894.7861,5,4894.8
,2379,1114.41,5,1114.4
,2380,2089.1897,4,518.1
,2380,2089.1897,5,1571.1
,2381,2052.3174,5,2052.3
,2382,1826.3389,5,1826.3
,2386,1979.4029,6,1979.4
,2387,1388.5196,6,1388.5
,2388,6699.0871,5,3860.9
