,Year,Lga,PenTotal,CPDTotal,CPCTotal,GrowthTotal,PenBattery,CPDBattery,CPCBattery,GrowthBattery,PenSolar,CPDSolar,CPCSolar,GrowthSolar,PenOther,CPDOther,CPCOther,GrowthOther,BSR
1247,2022,44830.0,13.141463414634146,167.58288780487803,12.752224201930215,5652.884800000001,0.22439024390243903,4.344878048780488,19.36304347826087,518.76,13.019512195121951,163.172156097561,12.532893218433871,5126.0248,0.0,0.0,0.0,0.0,0.017234919445485202
1248,2023,44830.0,13.560975609756097,175.34126341463417,12.929841366906476,5652.884800000001,0.2780487804878049,4.605365853658537,16.563157894736843,518.76,13.404878048780487,170.45784878048778,12.716105895196506,5126.0248,0.0,0.0,0.0,0.0,0.02074235807860262
1249,2024,44830.0,13.860911270983214,181.88565467625898,13.122200346020762,5652.884800000001,0.3501199040767386,5.159232613908873,14.735616438356166,518.76,13.664268585131895,176.64009112709834,12.927153036153037,5126.0248,0.0,0.0,0.0,0.0,0.02562302562302562
1250,2021,45040.0,3.8427480916030534,72.26697709923664,18.80606674612634,14807.278000000006,0.0366412213740458,0.24061068702290075,6.566666666666666,339.5999999999999,3.818320610687023,72.02636641221373,18.863362654938022,10280.918000000003,0.0,0.0,0.0,4187.0,0.009596161535385846
1251,2022,45040.0,4.426934097421204,87.8704871060172,19.84906148867314,14807.278000000006,0.04727793696275072,0.31002865329512896,6.557575757575758,339.5999999999999,4.396848137535817,83.55616045845272,19.003649397197783,10280.918000000003,0.004297994269340974,4.004297994269341,931.6666666666666,4187.0,0.010752688172043012
1252,2023,45040.0,4.601858470335954,96.30278770550393,20.926933830382108,14807.278000000006,0.06433166547533953,0.46204431736954965,7.182222222222222,339.5999999999999,4.566118656182988,87.36011436740529,19.13224796493425,10280.918000000003,0.012866333095067906,8.481057898498928,659.1666666666666,4187.0,0.014088916718847839
1253,2024,45040.0,4.780112044817927,98.04425770308124,20.51087020216818,14807.278000000006,0.12044817927170869,0.9635854341736695,8.0,339.5999999999999,4.7366946778711485,88.77226890756303,18.74139562389119,10280.918000000003,0.012605042016806723,8.308823529411764,659.1666666666666,4187.0,0.0254287403903016
1254,2021,45090.0,3.291635267520723,40.05556895252449,12.16889652014652,92735.99599999998,0.02110022607385079,0.21371514694800303,10.12857142857143,467.6599999999998,3.284099472494348,39.84185380557649,12.131743919229004,5408.715999999999,0.0,0.0,0.0,86859.79999999999,0.006424965580541533
1255,2022,45090.0,3.748148148148148,118.11951111111111,31.51409881422925,92735.99599999998,0.06222222222222222,0.5447407407407407,8.754761904761905,467.6599999999998,3.7125925925925927,44.96336296296296,12.111041500399043,5408.715999999999,0.016296296296296295,72.61185185185185,4455.727272727273,86859.79999999999,0.01675977653631285
1256,2023,45090.0,3.9263711495116453,230.15397445529678,58.61747799464217,92735.99599999998,0.08715251690458302,0.7956423741547709,9.129310344827585,467.6599999999998,3.8782870022539444,47.79905334335086,12.324784967067028,5408.715999999999,0.022539444027047332,181.55972952667167,8055.2,86859.79999999999,0.02247191011235955
1257,2024,45090.0,3.9970238095238093,233.12191964285714,58.32387565152643,92735.99599999998,0.12202380952380952,1.290625,10.576829268292682,467.6599999999998,3.9419642857142856,52.028169642857144,13.198539071347678,5408.715999999999,0.022321428571428572,179.80357142857142,8055.2,86859.79999999999,0.03095507738769347
1258,2021,45120.0,6.746835443037975,74.05696202531645,10.976547842401501,4095.578,0.11392405063291139,0.7560126582278481,6.636111111111111,304.7199999999999,6.689873417721519,73.24082278481012,10.948013245033112,3782.7580000000025,0.0,0.0,0.0,0.0,0.017029328287606435
1259,2022,45120.0,7.2975460122699385,82.69457055214724,11.331832702816309,4095.578,0.15337423312883436,1.1831288343558282,7.7139999999999995,304.7199999999999,7.226993865030675,81.47003067484663,11.273017826825127,3782.7580000000025,0.0,0.0,0.0,0.0,0.021222410865874362
1260,2023,45120.0,7.455370650529501,85.32686838124054,11.445020292207792,4095.578,0.21482602118003025,1.56338880484115,7.277464788732395,304.7199999999999,7.358547655068079,83.59101361573374,11.359716282894738,3782.7580000000025,0.0,0.0,0.0,0.0,0.02919407894736842
1261,2024,45120.0,7.575846833578792,87.81717231222386,11.591730171073095,4095.578,0.27982326951399117,2.0709867452135495,7.401052631578947,304.7199999999999,7.443298969072165,85.69316642120766,11.512793826671944,3782.7580000000025,0.0,0.0,0.0,0.0,0.03759398496240601
1262,2021,45290.0,1.2267805398810432,19.77080372121397,16.116006961710593,36436.5162,0.021351227695592497,0.11285648924813177,5.285714285714286,990.7599999999998,1.2118346804941285,19.658099740735093,16.2217669267556,24097.99619999999,0.0,0.0,0.0,11348.0,0.017618927762396173
1263,2022,45290.0,1.4665323161076724,27.908880092126097,19.0305251276011,36436.5162,0.02936519360875198,0.46569742334820785,15.858823529411763,990.7599999999998,1.44494026198359,24.51843817475169,16.968478780633593,24097.99619999999,0.004318410824816468,2.9250035986756875,677.3333333333334,11348.0,0.020322773460848775
