,Year,Lga,Type,TotalCapacity,BatteryCapacity,SolarCapacity,OtherCapacity,TotalDerConnections,BatteryConnections,SolarConnections,OtherConnections,TotalPopulation,PopulationDensity,MedianAge,MedianEquivalisedHouseholdIncome,Certificate,AdvDiploma,BachelorDegree,GraduateDiploma,Postgraduate,TotalDwelling
1273,2024,45400.0,RESIDENTIAL,27202.25,1405.2,25797.649999999998,0.0,5492.0,228.0,5372.0,0.0,890.0,0.3,52.3,706.0,23.4,8.1,8.4,1.8,1.0,477.0
1274,2021,45540.0,RESIDENTIAL,41598.84,2019.4,39579.44,0.0,8410.0,282.0,8260.0,0.0,1668.0,0.6,54.4,495.0,19.5,5.1,4.3,0.9,0.6,922.0
1275,2022,45540.0,RESIDENTIAL,46529.27,3173.4,43355.87,0.0,8902.0,424.0,8714.0,0.0,1672.0,0.6,55.3,495.0,19.5,5.1,4.3,0.9,0.6,922.0
1276,2023,45540.0,RESIDENTIAL,49264.07,3514.6,45750.87,0.0,9256.0,498.0,9016.0,0.0,1683.0,0.6,55.1,495.0,19.5,5.1,4.3,0.9,0.6,922.0
1277,2024,45540.0,RESIDENTIAL,52834.07,4089.3999999999996,48746.47,0.0,9754.0,600.0,9444.0,0.0,1682.0,0.6,56.3,495.0,19.5,5.1,4.3,0.9,0.6,922.0
1278,2021,45680.0,RESIDENTIAL,1169519.905978,68463.8,1101057.905978,0.0,248858.0,12638.0,240222.0,0.0,100556.0,291.3,33.3,777.0,25.4,6.8,6.2,1.0,1.2,37704.0
1279,2022,45680.0,RESIDENTIAL,1380720.71,109187.2,1271539.91,0.0,275264.0,19708.0,263172.0,0.0,103401.0,299.5,33.4,777.0,25.4,6.8,6.2,1.0,1.2,37704.0
1280,2023,45680.0,RESIDENTIAL,1556998.442,132281.4,1424732.642,0.0,297158.0,24058.0,282122.0,0.0,107073.0,310.2,33.3,777.0,25.4,6.8,6.2,1.0,1.2,37704.0
1281,2024,45680.0,RESIDENTIAL,1793877.782,178875.4,1615013.982,0.0,324268.0,31652.0,304440.0,0.0,111135.0,321.9,33.3,777.0,25.4,6.8,6.2,1.0,1.2,37704.0
1282,2021,45890.0,RESIDENTIAL,1258418.740042,78907.8,1179516.540042,0.0,277742.0,14382.0,267448.0,0.0,134131.0,1461.8,37.2,925.0,17.9,8.6,16.9,2.0,6.8,54769.0
1283,2022,45890.0,RESIDENTIAL,1487934.836,121637.4,1366293.236,0.0,304032.0,21402.0,290628.0,8.0,135822.0,1480.2,37.4,925.0,17.9,8.6,16.9,2.0,6.8,54769.0
1284,2023,45890.0,RESIDENTIAL,1678107.902,143924.8,1510197.502,24000.0,325032.0,25474.0,309154.0,12.0,138656.0,1511.1,37.5,925.0,17.9,8.6,16.9,2.0,6.8,54769.0
1285,2024,45890.0,RESIDENTIAL,1883716.592,187137.6,1672383.992,24000.0,349630.0,32388.0,328834.0,12.0,141042.0,1537.1,37.6,925.0,17.9,8.6,16.9,2.0,6.8,54769.0
1286,2021,46090.0,RESIDENTIAL,95890.52,3109.0,92782.52,0.0,19890.0,518.0,19534.0,0.0,14448.0,12.5,38.1,860.0,23.0,5.8,6.5,1.2,1.8,6227.0
